#	k	correction_coeff	info_depth (Angstroms)
10.7255516	1.1610196195975477	107568.93649107974
10.7758493	1.1606870959152775	107666.48027124102
10.8261375	1.1610356645903985	107764.49359608622
10.8763952	1.1616331742135892	107862.9353582023
10.9266653	1.162124472432576	107961.88972920502
10.9769535	1.1622917712200682	108061.3687801953
11.0271969	1.1617312205966503	108161.24810116972
11.0774784	1.1608099679067494	108261.69280005505
11.1277514	1.1595864873302995	108362.61062783327
11.1779947	1.158738790790404	108463.95887863838
11.228241	1.158729496281007	108565.80353276913
11.2784786	1.1588358679687538	108668.12120271412
11.3287992	1.1584601932586023	108771.10015341532
11.3790436	1.158115275943969	108874.41510164387
11.4292583	1.158142541379175	108978.1605214009
11.4795103	1.1585129283957203	109082.4753627519
11.5297651	1.1593414540326645	109187.28901379985
11.5799904	1.159997561400162	109292.53413081961
11.6302633	1.1606514794792904	109398.3729570228
11.6805391	1.16156217271222	109504.71254825706
11.7307749	1.162418314723438	109611.4620362279
11.781024	1.162866291505831	109718.73470612023
11.8312559	1.162522065570599	109826.46580736716
11.8815231	1.1614717805997192	109934.76862319563
11.9317932	1.159624887674563	110043.57433292149
11.9820127	1.1577941447638471	110152.76685430908
12.0322037	1.156574683930888	110262.39348810517
12.0824308	1.1560639675269755	110372.59586726621
12.1326818	1.1558527499030349	110483.34853739051
12.1829042	1.1557814169834426	110594.53614238265
12.2331734	1.1558243954615626	110706.32630573456
12.2834558	1.155985328714965	110818.64562560189
12.3336868	1.1560786338559104	110931.3496563448
12.383893	1.1560622074976294	111044.49736958412
12.4341221	1.1555976397554302	111158.19666219194
12.4843235	1.1553545194336958	111272.33334941324
12.5345688	1.1548919044754726	111387.07088818225
12.5848379	1.1543337360529928	111502.36481998654
12.6350489	1.1538769697582578	111618.02721830431
12.6852541	1.1536419508839146	111734.17802770923
12.7354927	1.1536352575387334	111850.90878045544
12.7857637	1.1538586271234146	111968.21857037031
12.835989	1.1541349814039912	112085.92537693221
12.8861961	1.1539966572734957	112204.09311683974
12.9364176	1.154081769529233	112322.79889006264
12.9866314	1.1541640591418045	112441.99099077245
13.0368681	1.1545247898277622	112561.74271353883
13.0870895	1.1546331795193279	112681.96354443704
13.1373234	1.1542787878950183	112802.72042037385
13.1875305	1.1537378442950006	112923.91908326058
13.2377214	1.1533109971824265	113045.58490181578
13.2879362	1.1529671197536757	113167.81562859047
13.3381433	1.152547812278883	113290.53502093394
13.3883743	1.1518108596644527	113413.82099514779
13.4385872	1.1512674845406827	113537.57098725303
13.4888334	1.1509435978167533	113661.91233635205
13.5390444	1.1507502987970222	113786.67593294842
13.5892487	1.15055537973821	113911.9323881824
13.6394749	1.1503058015175012	114037.75372110098
13.6896667	1.1499076277686378	114163.99913664939
13.7398624	1.1497032979284185	114290.76493631679
13.7900801	1.1494258165806248	114418.09765806296
13.8402901	1.1492535158087145	114545.92264505805
13.8905315	1.1489510557737461	114674.34023379307
13.9407396	1.1485613812756377	114803.18545391709
13.9909496	1.1482370418144343	114932.54858805954
14.0411549	1.1479332083243095	115062.41302109766
14.0913267	1.1477636786911583	115192.70410285897
14.1415644	1.147775519057349	115323.68089483779
14.1917419	1.1479425356616553	115455.01515575535
14.2419586	1.148246453344476	115586.96716352113
14.2921696	1.1483640572816949	115719.41988393084
14.3423834	1.1482845143753535	115852.39612643563
14.3925743	1.1480896647886776	115985.82795365724
14.4428205	1.147632575665286	116119.92419101468
14.492981	1.1470676955486205	116254.30850117323
14.5431538	1.146610200052061	116389.2427305356
14.5933561	1.1464081800620531	116524.77421289525
14.6435699	1.1464862729773744	116660.85541835483
14.6938143	1.146323255896964	116797.53919165333
14.7439985	1.1462856109874373	116934.57849297464
14.7941694	1.1460003377149528	117072.10068156375
14.8444042	1.1454372093224312	117210.3185832531
14.8945894	1.1450077299141916	117348.92056052215
14.9448118	1.1445816213225846	117488.14657389958
14.9950209	1.1441568393929584	117627.85742782812
15.0452061	1.1439559401542205	117768.02347436617
15.0953703	1.143815875660734	117908.65253927972
15.1455441	1.1435715870131464	118049.83065359762
# ----------------------------------------------------
# Self-absorption corrected with SAB_COR 1.07, corr at 5 inv ang=  1.185
# using formula=Cu and thickness= 46000 Angstroms.
# ----------------------------------------------------
